NEIGHBORHOOD,total_crimes_UNIT,under_18_UNIT,over_18_UNIT,facility_count_UNIT,Total_Length_With_Steps_UNIT,Total_Steps_UNIT,Length_per_Step_UNIT,Zero_Steps_Total_Length_UNIT,park_count_UNIT,non_park_count_UNIT,tree_count_UNIT,TOTAL_STUDENTS_UNIT
SQUIRREL HILL NORTH,894.7000898186077,55.72526510980947,838.9748247087982,21.670936431592573,1894.659013733522,928.7544184968245,6.315530045778407,0.0,3.0958480616560817,0.0,6448.651512429618,1030.9174045314753
SQUIRREL HILL SOUTH,1136.5757865877154,181.39862928083235,955.1771573068829,41.09812694643858,1660.9311993526214,427.9873909594639,5.499772183286825,0.0,4.2515303737695085,4.2515303737695085,7189.337862044239,962.2630412631654
STANTON HEIGHTS,1136.4369510240979,41.13798917734291,1095.2989618467548,5.142248647167864,10999.26985629206,4458.329577094538,12.68658576273594,0.0,5.142248647167864,0.0,3599.5740530175044,1707.2265508597307
TERRACE VILLAGE,3287.7371501529515,88.55857643509634,3199.178573717855,33.209466163161125,3564.4827015126275,1372.6579347439933,28.74582823800506,0.0,22.139644108774085,0.0,2889.223556195018,4438.998643809204
TROY HILL,3600.0593324764095,73.97382190020019,3526.0855105762093,24.657940633400067,21756.522952203326,10117.974973238493,17.67386104971838,0.0,41.09656772233345,0.0,1783.5910391492714,1216.45840458107
UPPER HILL,4426.082831291488,798.146084331252,3627.9367469602366,24.18624497973491,31732.353413412202,9722.870481853433,39.46810126046294,0.0,12.093122489867454,0.0,2164.6689256862746,1632.5715361321065
UPPER LAWRENCEVILLE,1754.7018200849875,46.66760159800499,1708.0342184869826,9.333520319600998,22008.440913619153,8549.504612754514,24.026682220108246,0.0,28.000560958802993,0.0,3481.403079211172,1045.3542757953117
WEST OAKLAND,5698.761657235636,70.35508218809427,5628.406575047542,17.588770547023568,4942.444523713622,6613.377725680862,13.144799265195806,0.0,17.588770547023568,0.0,1371.9241026678383,949.7936095392727
WESTWOOD,801.7040230011733,39.36939398666476,762.3346290145086,14.316143267878093,3987.045900104049,1682.1468339756761,8.483076383200105,0.0,7.158071633939047,3.5790358169695233,930.5493124120761,962.7606347648018
WINDGAP,310.44985718932924,30.043534566709283,280.40632262261994,7.510883641677321,62.59069701397767,40.05804608894571,3.911918563373604,0.0,2.503627880559107,0.0,292.9244620254155,275.39906686150175
